历史性能_NB覆盖等级-sjl_20190222094808,,,,,,,,,,,,,,,
测量类型:,[NB-IoT]覆盖等级 ,,,,,,,,,,,,,,
查询时间:,2019-02-21 00:00:00 - 2019-02-22 00:00:00,,,,,,,,,,,,,,
制表人:,xironghai,,,,,,,,,,,,,,
制表时间:,2019/2/22 9:48,,,,,,,,,,,,,,
序号,开始时间,结束时间,查询粒度,子网,子网名称,网元,网元名称,eNodeB,eNodeB名称,小区,小区名称,覆盖等级,请求,成功,用户数
1401,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),946462,鞍山海城市中小下堡946462FDD-ZLH(946462),946462,鞍山海城市中小下堡946462FDD-ZLH(946462),8,鞍山海城市中小下堡946462FDDN-ZLH-2(8),0,0,0,0
1402,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),222519,鞍山千山区万科城越岭路222519FDD-ZLH(222519),222519,鞍山千山区万科城越岭路222519FDD-ZLH(222519),72,鞍山铁东区万科城越岭路222519FDDN-ZLH-2(72),2,0,0,0
1403,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),222519,鞍山千山区万科城越岭路222519FDD-ZLH(222519),222519,鞍山千山区万科城越岭路222519FDD-ZLH(222519),72,鞍山铁东区万科城越岭路222519FDDN-ZLH-2(72),1,0,0,0
1404,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),222519,鞍山千山区万科城越岭路222519FDD-ZLH(222519),222519,鞍山千山区万科城越岭路222519FDD-ZLH(222519),72,鞍山铁东区万科城越岭路222519FDDN-ZLH-2(72),0,0,0,0
1405,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),222519,鞍山千山区万科城越岭路222519FDD-ZLH(222519),222519,鞍山千山区万科城越岭路222519FDD-ZLH(222519),71,鞍山千山区万科城越岭路222519FDDN-ZLH-1(71),2,0,0,0
1406,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),222519,鞍山千山区万科城越岭路222519FDD-ZLH(222519),222519,鞍山千山区万科城越岭路222519FDD-ZLH(222519),71,鞍山千山区万科城越岭路222519FDDN-ZLH-1(71),1,0,0,0
1407,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),222519,鞍山千山区万科城越岭路222519FDD-ZLH(222519),222519,鞍山千山区万科城越岭路222519FDD-ZLH(222519),71,鞍山千山区万科城越岭路222519FDDN-ZLH-1(71),0,0,0,0
1408,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),222519,鞍山千山区万科城越岭路222519FDD-ZLH(222519),222519,鞍山千山区万科城越岭路222519FDD-ZLH(222519),73,鞍山铁东区万科城越岭路222519FDDN-ZLH-3(73),2,0,0,0
1409,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),222519,鞍山千山区万科城越岭路222519FDD-ZLH(222519),222519,鞍山千山区万科城越岭路222519FDD-ZLH(222519),73,鞍山铁东区万科城越岭路222519FDDN-ZLH-3(73),1,0,0,0
1410,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),222519,鞍山千山区万科城越岭路222519FDD-ZLH(222519),222519,鞍山千山区万科城越岭路222519FDD-ZLH(222519),73,鞍山铁东区万科城越岭路222519FDDN-ZLH-3(73),0,0,0,0
1411,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),624317,鞍山海城市双龙新村代千624317FDD-ZLH(624317),624317,鞍山海城市双龙新村代千624317FDD-ZLH(624317),7,鞍山海城市双龙新村代千624317FDDN-ZLH-1(7),0,0,0,0
1412,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),624317,鞍山海城市双龙新村代千624317FDD-ZLH(624317),624317,鞍山海城市双龙新村代千624317FDD-ZLH(624317),9,鞍山海城市双龙新村代千624317FDDN-ZLH-3(9),0,0,0,0
1413,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),624317,鞍山海城市双龙新村代千624317FDD-ZLH(624317),624317,鞍山海城市双龙新村代千624317FDD-ZLH(624317),8,鞍山海城市双龙新村代千624317FDDN-ZLH-2(8),0,0,0,0
1414,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),218342,鞍山铁西区燃气公司218342FDD-ZLH(218342),218342,鞍山铁西区燃气公司218342FDD-ZLH(218342),72,鞍山立山区燃气公司218342FDDN-ZLH-2(72),2,0,0,0
1415,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),218342,鞍山铁西区燃气公司218342FDD-ZLH(218342),218342,鞍山铁西区燃气公司218342FDD-ZLH(218342),72,鞍山立山区燃气公司218342FDDN-ZLH-2(72),1,0,0,0
1416,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),218342,鞍山铁西区燃气公司218342FDD-ZLH(218342),218342,鞍山铁西区燃气公司218342FDD-ZLH(218342),72,鞍山立山区燃气公司218342FDDN-ZLH-2(72),0,0,0,0
1417,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),218342,鞍山铁西区燃气公司218342FDD-ZLH(218342),218342,鞍山铁西区燃气公司218342FDD-ZLH(218342),71,鞍山立山区燃气公司218342FDDN-ZLH-1(71),2,0,0,0
1418,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),218342,鞍山铁西区燃气公司218342FDD-ZLH(218342),218342,鞍山铁西区燃气公司218342FDD-ZLH(218342),71,鞍山立山区燃气公司218342FDDN-ZLH-1(71),1,0,0,0
1419,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),218342,鞍山铁西区燃气公司218342FDD-ZLH(218342),218342,鞍山铁西区燃气公司218342FDD-ZLH(218342),71,鞍山立山区燃气公司218342FDDN-ZLH-1(71),0,0,0,0
1420,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),218342,鞍山铁西区燃气公司218342FDD-ZLH(218342),218342,鞍山铁西区燃气公司218342FDD-ZLH(218342),73,鞍山立山区燃气公司218342FDDN-ZLH-3(73),2,0,0,0
1421,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),218342,鞍山铁西区燃气公司218342FDD-ZLH(218342),218342,鞍山铁西区燃气公司218342FDD-ZLH(218342),73,鞍山立山区燃气公司218342FDDN-ZLH-3(73),1,0,0,0
1422,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),218342,鞍山铁西区燃气公司218342FDD-ZLH(218342),218342,鞍山铁西区燃气公司218342FDD-ZLH(218342),73,鞍山立山区燃气公司218342FDDN-ZLH-3(73),0,0,0,0
1423,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),946509,鞍山千山区甘泉946509FDD-ZLH(946509),946509,鞍山千山区甘泉946509FDD-ZLH(946509),7,鞍山千山区甘泉946509FDDN-ZLH-1(7),0,0,0,0
1424,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),946509,鞍山千山区甘泉946509FDD-ZLH(946509),946509,鞍山千山区甘泉946509FDD-ZLH(946509),9,鞍山千山区甘泉946509FDDN-ZLH-3(9),0,0,0,0
1425,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),946509,鞍山千山区甘泉946509FDD-ZLH(946509),946509,鞍山千山区甘泉946509FDD-ZLH(946509),8,鞍山千山区甘泉946509FDDN-ZLH-2(8),0,0,0,0
1426,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),218309,鞍山立山区附企运输218309FDD-ZLH(218309),218309,鞍山立山区附企运输218309FDD-ZLH(218309),72,鞍山立山区附企运输218309FDDN-ZLH-2(72),2,0,0,0
1427,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),218309,鞍山立山区附企运输218309FDD-ZLH(218309),218309,鞍山立山区附企运输218309FDD-ZLH(218309),72,鞍山立山区附企运输218309FDDN-ZLH-2(72),1,0,0,0
1428,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),218309,鞍山立山区附企运输218309FDD-ZLH(218309),218309,鞍山立山区附企运输218309FDD-ZLH(218309),72,鞍山立山区附企运输218309FDDN-ZLH-2(72),0,0,0,0
1429,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),218309,鞍山立山区附企运输218309FDD-ZLH(218309),218309,鞍山立山区附企运输218309FDD-ZLH(218309),71,鞍山立山区附企运输218309FDDN-ZLH-1(71),2,0,0,0
1430,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),218309,鞍山立山区附企运输218309FDD-ZLH(218309),218309,鞍山立山区附企运输218309FDD-ZLH(218309),71,鞍山立山区附企运输218309FDDN-ZLH-1(71),1,0,0,0
1431,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),218309,鞍山立山区附企运输218309FDD-ZLH(218309),218309,鞍山立山区附企运输218309FDD-ZLH(218309),71,鞍山立山区附企运输218309FDDN-ZLH-1(71),0,0,0,0
1432,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),218309,鞍山立山区附企运输218309FDD-ZLH(218309),218309,鞍山立山区附企运输218309FDD-ZLH(218309),73,鞍山立山区附企运输218309FDDN-ZLH-3(73),2,0,0,0
1433,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),218309,鞍山立山区附企运输218309FDD-ZLH(218309),218309,鞍山立山区附企运输218309FDD-ZLH(218309),73,鞍山立山区附企运输218309FDDN-ZLH-3(73),1,0,0,0
1434,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),218309,鞍山立山区附企运输218309FDD-ZLH(218309),218309,鞍山立山区附企运输218309FDD-ZLH(218309),73,鞍山立山区附企运输218309FDDN-ZLH-3(73),0,0,0,0
1435,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),624367,鞍山千山区大魏家屯东624367FDD-ZLH(624367),624367,鞍山千山区大魏家屯东624367FDD-ZLH(624367),78,鞍山千山区大魏家屯东624367FDDN-ZLH-2(78),2,0,0,0
1436,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),624367,鞍山千山区大魏家屯东624367FDD-ZLH(624367),624367,鞍山千山区大魏家屯东624367FDD-ZLH(624367),78,鞍山千山区大魏家屯东624367FDDN-ZLH-2(78),1,0,0,0
1437,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),624367,鞍山千山区大魏家屯东624367FDD-ZLH(624367),624367,鞍山千山区大魏家屯东624367FDD-ZLH(624367),78,鞍山千山区大魏家屯东624367FDDN-ZLH-2(78),0,0,0,0
1438,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),624367,鞍山千山区大魏家屯东624367FDD-ZLH(624367),624367,鞍山千山区大魏家屯东624367FDD-ZLH(624367),79,鞍山千山区大魏家屯东624367FDDN-ZLH-3(79),2,0,0,0
1439,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),624367,鞍山千山区大魏家屯东624367FDD-ZLH(624367),624367,鞍山千山区大魏家屯东624367FDD-ZLH(624367),79,鞍山千山区大魏家屯东624367FDDN-ZLH-3(79),1,0,0,0
1440,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),624367,鞍山千山区大魏家屯东624367FDD-ZLH(624367),624367,鞍山千山区大魏家屯东624367FDD-ZLH(624367),79,鞍山千山区大魏家屯东624367FDDN-ZLH-3(79),0,0,0,0
1441,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),624367,鞍山千山区大魏家屯东624367FDD-ZLH(624367),624367,鞍山千山区大魏家屯东624367FDD-ZLH(624367),77,鞍山千山区大魏家屯东624367FDDN-ZLH-1(77),2,0,0,0
1442,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),624367,鞍山千山区大魏家屯东624367FDD-ZLH(624367),624367,鞍山千山区大魏家屯东624367FDD-ZLH(624367),77,鞍山千山区大魏家屯东624367FDDN-ZLH-1(77),1,0,0,0
1443,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),624367,鞍山千山区大魏家屯东624367FDD-ZLH(624367),624367,鞍山千山区大魏家屯东624367FDD-ZLH(624367),77,鞍山千山区大魏家屯东624367FDDN-ZLH-1(77),0,0,0,0
1444,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),624320,鞍山岫岩县石庙子政府624320FDD-ZLH(624320),624320,鞍山岫岩县石庙子政府624320FDD-ZLH(624320),7,鞍山岫岩县石庙子政府624320FDDN-ZLH-1(7),0,0,0,0
1445,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),624320,鞍山岫岩县石庙子政府624320FDD-ZLH(624320),624320,鞍山岫岩县石庙子政府624320FDD-ZLH(624320),9,鞍山岫岩县石庙子政府624320FDDN-ZLH-3(9),0,0,0,0
1446,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),624320,鞍山岫岩县石庙子政府624320FDD-ZLH(624320),624320,鞍山岫岩县石庙子政府624320FDD-ZLH(624320),8,鞍山岫岩县石庙子政府624320FDDN-ZLH-2(8),0,0,0,0
1447,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),624346,鞍山海城市英落石柱624346FDD-ZLH(624346),624346,鞍山海城市英落石柱624346FDD-ZLH(624346),7,鞍山海城市英落石柱624346FDDN-ZLH-1(7),0,0,0,0
1448,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),624346,鞍山海城市英落石柱624346FDD-ZLH(624346),624346,鞍山海城市英落石柱624346FDD-ZLH(624346),9,鞍山海城市英落石柱624346FDDN-ZLH-3(9),0,0,0,0
1449,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),624346,鞍山海城市英落石柱624346FDD-ZLH(624346),624346,鞍山海城市英落石柱624346FDD-ZLH(624346),8,鞍山海城市英落石柱624346FDDN-ZLH-2(8),0,0,0,0
1450,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),218289,鞍山岫岩县客运218289FDD-ZLH(218289),218289,鞍山岫岩县客运218289FDD-ZLH(218289),72,鞍山岫岩县客运218289FDDN-ZLH-2(72),2,0,0,0
1451,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),218289,鞍山岫岩县客运218289FDD-ZLH(218289),218289,鞍山岫岩县客运218289FDD-ZLH(218289),72,鞍山岫岩县客运218289FDDN-ZLH-2(72),1,0,0,0
1452,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),218289,鞍山岫岩县客运218289FDD-ZLH(218289),218289,鞍山岫岩县客运218289FDD-ZLH(218289),72,鞍山岫岩县客运218289FDDN-ZLH-2(72),0,0,0,0
1453,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),218289,鞍山岫岩县客运218289FDD-ZLH(218289),218289,鞍山岫岩县客运218289FDD-ZLH(218289),71,鞍山岫岩县客运218289FDDN-ZLH-1(71),2,0,0,0
1454,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),218289,鞍山岫岩县客运218289FDD-ZLH(218289),218289,鞍山岫岩县客运218289FDD-ZLH(218289),71,鞍山岫岩县客运218289FDDN-ZLH-1(71),1,0,0,0
1455,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),218289,鞍山岫岩县客运218289FDD-ZLH(218289),218289,鞍山岫岩县客运218289FDD-ZLH(218289),71,鞍山岫岩县客运218289FDDN-ZLH-1(71),0,0,0,0
1456,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),218289,鞍山岫岩县客运218289FDD-ZLH(218289),218289,鞍山岫岩县客运218289FDD-ZLH(218289),73,鞍山岫岩县客运218289FDDN-ZLH-3(73),2,0,0,0
1457,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),218289,鞍山岫岩县客运218289FDD-ZLH(218289),218289,鞍山岫岩县客运218289FDD-ZLH(218289),73,鞍山岫岩县客运218289FDDN-ZLH-3(73),1,0,0,0
1458,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),218289,鞍山岫岩县客运218289FDD-ZLH(218289),218289,鞍山岫岩县客运218289FDD-ZLH(218289),73,鞍山岫岩县客运218289FDDN-ZLH-3(73),0,0,0,0
1459,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),624269,鞍山海城市牌楼梨树624269FDD-ZLH(624269),624269,鞍山海城市牌楼梨树624269FDD-ZLH(624269),7,鞍山海城市牌楼梨树624269FDDN-ZLH-1(7),0,0,0,0
1460,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),624269,鞍山海城市牌楼梨树624269FDD-ZLH(624269),624269,鞍山海城市牌楼梨树624269FDD-ZLH(624269),9,鞍山海城市牌楼梨树624269FDDN-ZLH-3(9),0,0,0,0
1461,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),624269,鞍山海城市牌楼梨树624269FDD-ZLH(624269),624269,鞍山海城市牌楼梨树624269FDD-ZLH(624269),8,鞍山海城市牌楼梨树624269FDDN-ZLH-2(8),0,0,0,0
1462,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),624283,鞍山岫岩县哈达碑希林624283FDD-ZLH(624283),624283,鞍山岫岩县哈达碑希林624283FDD-ZLH(624283),7,鞍山岫岩县哈达碑希林624283FDDN-ZLH-1(7),2,0,0,0
1463,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),624283,鞍山岫岩县哈达碑希林624283FDD-ZLH(624283),624283,鞍山岫岩县哈达碑希林624283FDD-ZLH(624283),7,鞍山岫岩县哈达碑希林624283FDDN-ZLH-1(7),1,0,0,0
1464,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),624283,鞍山岫岩县哈达碑希林624283FDD-ZLH(624283),624283,鞍山岫岩县哈达碑希林624283FDD-ZLH(624283),7,鞍山岫岩县哈达碑希林624283FDDN-ZLH-1(7),0,0,0,0
1465,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),624283,鞍山岫岩县哈达碑希林624283FDD-ZLH(624283),624283,鞍山岫岩县哈达碑希林624283FDD-ZLH(624283),9,鞍山岫岩县哈达碑希林624283FDDN-ZLH-3(9),2,0,0,0
1466,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),624283,鞍山岫岩县哈达碑希林624283FDD-ZLH(624283),624283,鞍山岫岩县哈达碑希林624283FDD-ZLH(624283),9,鞍山岫岩县哈达碑希林624283FDDN-ZLH-3(9),1,0,0,0
1467,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),624283,鞍山岫岩县哈达碑希林624283FDD-ZLH(624283),624283,鞍山岫岩县哈达碑希林624283FDD-ZLH(624283),9,鞍山岫岩县哈达碑希林624283FDDN-ZLH-3(9),0,0,0,0
1468,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),624283,鞍山岫岩县哈达碑希林624283FDD-ZLH(624283),624283,鞍山岫岩县哈达碑希林624283FDD-ZLH(624283),8,鞍山岫岩县哈达碑希林624283FDDN-ZLH-2(8),2,0,0,0
1469,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),624283,鞍山岫岩县哈达碑希林624283FDD-ZLH(624283),624283,鞍山岫岩县哈达碑希林624283FDD-ZLH(624283),8,鞍山岫岩县哈达碑希林624283FDDN-ZLH-2(8),1,0,0,0
1470,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),624283,鞍山岫岩县哈达碑希林624283FDD-ZLH(624283),624283,鞍山岫岩县哈达碑希林624283FDD-ZLH(624283),8,鞍山岫岩县哈达碑希林624283FDDN-ZLH-2(8),0,0,0,0
1471,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),946468,鞍山岫岩县汤沟红塔古碾沟946468FDD-ZLH(946468),946468,鞍山岫岩县汤沟红塔古碾沟946468FDD-ZLH(946468),7,鞍山岫岩县汤沟红塔古碾沟946468FDDN-ZLH-1(7),2,0,0,0
1472,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),946468,鞍山岫岩县汤沟红塔古碾沟946468FDD-ZLH(946468),946468,鞍山岫岩县汤沟红塔古碾沟946468FDD-ZLH(946468),7,鞍山岫岩县汤沟红塔古碾沟946468FDDN-ZLH-1(7),1,0,0,0
1473,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),946468,鞍山岫岩县汤沟红塔古碾沟946468FDD-ZLH(946468),946468,鞍山岫岩县汤沟红塔古碾沟946468FDD-ZLH(946468),7,鞍山岫岩县汤沟红塔古碾沟946468FDDN-ZLH-1(7),0,0,0,0
1474,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),946468,鞍山岫岩县汤沟红塔古碾沟946468FDD-ZLH(946468),946468,鞍山岫岩县汤沟红塔古碾沟946468FDD-ZLH(946468),9,鞍山岫岩县汤沟红塔古碾沟946468FDDN-ZLH-3(9),2,0,0,0
1475,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),946468,鞍山岫岩县汤沟红塔古碾沟946468FDD-ZLH(946468),946468,鞍山岫岩县汤沟红塔古碾沟946468FDD-ZLH(946468),9,鞍山岫岩县汤沟红塔古碾沟946468FDDN-ZLH-3(9),1,0,0,0
1476,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),946468,鞍山岫岩县汤沟红塔古碾沟946468FDD-ZLH(946468),946468,鞍山岫岩县汤沟红塔古碾沟946468FDD-ZLH(946468),9,鞍山岫岩县汤沟红塔古碾沟946468FDDN-ZLH-3(9),0,0,0,0
1477,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),946468,鞍山岫岩县汤沟红塔古碾沟946468FDD-ZLH(946468),946468,鞍山岫岩县汤沟红塔古碾沟946468FDD-ZLH(946468),8,鞍山岫岩县汤沟红塔古碾沟946468FDDN-ZLH-2(8),2,0,0,0
1478,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),946468,鞍山岫岩县汤沟红塔古碾沟946468FDD-ZLH(946468),946468,鞍山岫岩县汤沟红塔古碾沟946468FDD-ZLH(946468),8,鞍山岫岩县汤沟红塔古碾沟946468FDDN-ZLH-2(8),1,0,0,0
1479,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),946468,鞍山岫岩县汤沟红塔古碾沟946468FDD-ZLH(946468),946468,鞍山岫岩县汤沟红塔古碾沟946468FDD-ZLH(946468),8,鞍山岫岩县汤沟红塔古碾沟946468FDDN-ZLH-2(8),0,0,0,0
1480,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),624328,鞍山海城市英落双庙624328FDD-ZLH(624328),624328,鞍山海城市英落双庙624328FDD-ZLH(624328),7,鞍山海城市英落双庙624328FDDN-ZLH-1(7),0,0,0,0
1481,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),624328,鞍山海城市英落双庙624328FDD-ZLH(624328),624328,鞍山海城市英落双庙624328FDD-ZLH(624328),9,鞍山海城市英落双庙624328FDDN-ZLH-3(9),0,0,0,0
1482,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),624328,鞍山海城市英落双庙624328FDD-ZLH(624328),624328,鞍山海城市英落双庙624328FDD-ZLH(624328),8,鞍山海城市英落双庙624328FDDN-ZLH-2(8),0,0,0,0
1483,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),222515,鞍山铁东区长大街道222515FDD-ZLH(222515),222515,鞍山铁东区长大街道222515FDD-ZLH(222515),72,鞍山铁东区长大街道222515FDDN-ZLH-2(72),2,0,0,0
1484,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),222515,鞍山铁东区长大街道222515FDD-ZLH(222515),222515,鞍山铁东区长大街道222515FDD-ZLH(222515),72,鞍山铁东区长大街道222515FDDN-ZLH-2(72),1,0,0,0
1485,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),222515,鞍山铁东区长大街道222515FDD-ZLH(222515),222515,鞍山铁东区长大街道222515FDD-ZLH(222515),72,鞍山铁东区长大街道222515FDDN-ZLH-2(72),0,0,0,0
1486,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),222515,鞍山铁东区长大街道222515FDD-ZLH(222515),222515,鞍山铁东区长大街道222515FDD-ZLH(222515),71,鞍山铁东区长大街道222515FDDN-ZLH-1(71),2,0,0,0
1487,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),222515,鞍山铁东区长大街道222515FDD-ZLH(222515),222515,鞍山铁东区长大街道222515FDD-ZLH(222515),71,鞍山铁东区长大街道222515FDDN-ZLH-1(71),1,0,0,0
1488,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),222515,鞍山铁东区长大街道222515FDD-ZLH(222515),222515,鞍山铁东区长大街道222515FDD-ZLH(222515),71,鞍山铁东区长大街道222515FDDN-ZLH-1(71),0,0,0,0
1489,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),222515,鞍山铁东区长大街道222515FDD-ZLH(222515),222515,鞍山铁东区长大街道222515FDD-ZLH(222515),73,鞍山铁东区长大街道222515FDDN-ZLH-3(73),2,0,0,0
1490,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),222515,鞍山铁东区长大街道222515FDD-ZLH(222515),222515,鞍山铁东区长大街道222515FDD-ZLH(222515),73,鞍山铁东区长大街道222515FDDN-ZLH-3(73),1,0,0,0
1491,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),222515,鞍山铁东区长大街道222515FDD-ZLH(222515),222515,鞍山铁东区长大街道222515FDD-ZLH(222515),73,鞍山铁东区长大街道222515FDDN-ZLH-3(73),0,0,0,0
1492,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),624152,鞍山台安县少年宫624152FDD-ZLH(624152),624152,鞍山台安县少年宫624152FDD-ZLH(624152),7,鞍山台安县少年宫624152FDDN-ZLH-1(7),0,0,0,0
1493,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),624152,鞍山台安县少年宫624152FDD-ZLH(624152),624152,鞍山台安县少年宫624152FDD-ZLH(624152),9,鞍山台安县少年宫624152FDDN-ZLH-3(9),0,0,0,0
1494,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),624152,鞍山台安县少年宫624152FDD-ZLH(624152),624152,鞍山台安县少年宫624152FDD-ZLH(624152),8,鞍山台安县少年宫624152FDDN-ZLH-2(8),0,0,0,0
1495,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),624249,鞍山海城市腾鳌三大队624249FDD-ZLH(624249),624249,鞍山海城市腾鳌三大队624249FDD-ZLH(624249),7,鞍山海城市腾鳌三大队624249FDDN-ZLH-1(7),2,0,0,0
1496,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),624249,鞍山海城市腾鳌三大队624249FDD-ZLH(624249),624249,鞍山海城市腾鳌三大队624249FDD-ZLH(624249),7,鞍山海城市腾鳌三大队624249FDDN-ZLH-1(7),1,0,0,0
1497,2019/2/21 0:00,2019/2/22 0:00,1天,101,鞍山GNF(101),624249,鞍山海城市腾鳌三大队624249FDD-ZLH(624249),624249,鞍山海城市腾鳌三大队624249FDD-ZLH(624249),7,鞍山海城市腾鳌三大队624249FDDN-ZLH-1(7),0,0,0,0
